StartDate,EndDate,Progress,Duration (in seconds),Finished,Name,Why_TAF,STEM,highest_ed,current_ed,semesters,teaching_e,primary_ro,teaching_s,ped_exp,t_f_a,t_v_m,t_w_s,IS_1,IS_2,IS_3,IS_4,IS_5,IS_6,IS_7,IS_8,LE_1,LE_2,LE_3,LE_4,LE_5,LE_6,LE_7,Gender,Gender_3_TEXT,Age,Race,Race_9_TEXT,Int'l,opt_in,set_expectations1,wing_it1,invite_input1,provide_rationale1,shame1,insist_firmly1,wing_it2,overview1,invite_input2,communicate_trust1,shame2,foster_enjoyment1,exert_power1,helpful_strategy1,offer_choice1,lax1,push_compliance1,set_expectations2,indifference1,invite_input3,exert_power2,overview2,wing_it3,insist_firmly2,foster_enjoyment2,invite_input4,helpful_strategy2,shame3,indifference2,shame4,adjust1,identify_benefits1,indifference3,insist_firmly3,overview3,command1,invite_input5,follow_pace1,overview4,lax2,ignore1,insist_firmly4,adjust2,ignore2,invite_input6,ignore3,shame5,adjust3,interest_taking1,overview5,lax3,wing_it4,offer_choice2,indifference4,offer_help1,shame6
8/25/20 20:15,8/25/20 20:32,100,1021,1,24,I would like to learn how to be the best teacher I can be for my students. I want them to come away having learned about chemistry and having enjoyed my course. I would like to learn how to be as approachable as possible and how to best motivate my students. ,Y,1,3,0,1,"I was an undergraduate TA for general chemistry 2 lab at my undergraduate institution. I led a lab section for two summer sessions (equivalent of 2 semesters in ~8 weeks). I was in charge of leading the lab, giving a pre-lab lecture, making sure everyone was safe, grading assignments, and grading exams for a lecture course. My lab supervisor was always there for help if I needed it (she went in between different labs). I met with her and other TAs weekly and we put together the pre-lab lectures and course policies. I also proctored for the final exam for the lab and lecture course. ",2,2,4,4,2,3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,1,,1998,5,,0,4,6,4,1,7,2,1,1,7,5,6,1,4,1,4,4,3,1,7,7,2,1,7,1,1,1,1,7,1,3,1,7,7,3,1,7,1,4,6,7,7,1,1,4,1,6,1,1,3,7,7,1,4,1,1,7,1
8/25/20 16:50,8/25/20 21:32,100,16895,1,26,"I'm taking Teaching Assistant Fundamentals because I want to be best prepared to teach my students, and this course offers a free and no-time-expensive way to do that.",Y,1,3,2,2,,,2,4,5,3,3,2,3,4,3,2,4,4,1,4,3,3,4,3,3,0,,1995,5,,0,4,5,2,3,6,1,1,4,5,5,6,1,4,1,7,4,1,1,3,2,1,1,2,5,1,7,7,6,1,1,1,7,7,4,1,3,1,6,7,4,4,1,1,1,1,3,3,5,7,7,5,1,3,7,1,7,1
8/26/20 10:07,8/26/20 10:17,100,623,1,1,I hope to gain a better understanding of how to engage my students in exciting and meaningful lessons. I want them to feel empowered and free to ask questions in an open learning environment. ,N,1,2,4,1,I taught English in a fellowship program in Colombia for 5 months. ,1,2,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,1989,5,,0,4,6,4,4,6,1,3,3,6,6,7,3,6,1,6,6,3,1,3,1,6,2,5,3,3,6,6,5,1,3,1,6,7,2,1,6,1,4,5,3,4,1,1,5,1,5,1,1,6,6,6,3,4,3,2,7,1
8/26/20 16:35,8/26/20 16:54,100,1122,1,34,"I wanted to participate in Teaching Assistant Fundamentals to learn specifics about being a TA and how I can improve that. In addition, I want to learn how I can engage with the students, especially during this time where we have to manage it over zoom. ",N,2,3,0,2,,,2,4,3,4,3,2,2,3,2,3,2,2,2,3,3,2,3,3,2,1,,1990,6,,1,4,6,3,5,6,2,4,2,6,6,5,6,5,2,5,4,2,3,6,3,5,3,5,4,4,5,5,5,3,2,2,5,5,3,3,5,2,5,5,6,3,4,3,4,2,4,2,4,5,5,4,3,4,4,2,6,1
8/26/20 16:47,8/26/20 16:57,100,606,1,36,"I don't have any experience in teaching, so I'm looking for both introduction to pedagogical approaches and techniques, as well as a community for problem-solving and resource-sharing.",N,1,2,0,2,,,2,4,4,4,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,,1994,5,,0,4,4,5,3,3,1,3,1,6,4,3,3,5,1,6,3,1,1,4,1,3,1,4,1,2,4,2,5,1,2,1,6,1,1,1,4,1,4,7,6,4,1,1,4,1,6,1,1,7,6,6,1,1,5,1,7,1
8/26/20 22:00,8/26/20 22:22,100,1317,1,78,"This semester is my first time teaching. Especially now that all classes are online, I am nervous about leading a discussion section. I hope that this course will help me develop my skills and give me a community of other TAs to share ideas and issues. ",N,1,3,0,2,,,2,4,5,4,4,4,3,2,3,3,4,4,4,4,2,3,3,3,3,1,,1997,5,,0,4,5,2,6,5,2,2,2,5,5,5,2,5,1,5,4,2,2,5,2,4,1,5,2,2,4,5,5,2,2,1,5,5,1,2,5,1,5,5,5,2,4,2,5,2,5,3,1,5,4,5,2,3,4,2,5,1
8/27/20 8:05,8/27/20 8:32,100,1622,1,79,"I want to hone my teaching skills and discover my style as efficiently as possible, and participating in this course will hold me accountable to do the work necessary to improve my teaching.",N,2,3,0,2,,,1,4,4,4,3,2,3,2,2,4,3,3,3,3,3,3,3,3,2,0,,1990,5,,0,4,5,2,4,5,2,2,3,4,6,4,5,4,2,3,4,3,3,5,3,3,2,5,2,1,5,5,4,2,1,1,4,5,2,2,5,1,5,5,2,3,3,3,4,2,4,3,1,5,6,5,3,2,4,1,6,2
8/27/20 8:31,8/27/20 8:50,100,1167,1,32,I'm new to teaching and I hope this course will help me move a bit more quickly through that beginner stage.,N,1,2,0,2,,,2,3,1,2,3,4,2,3,2,4,3,3,3,4,4,3,3,3,3,1,,1980,8,,0,4,5,3,5,2,5,3,4,6,3,5,3,4,3,4,4,4,2,6,4,4,2,5,3,2,5,6,4,2,4,2,4,5,2,2,6,1,6,6,4,3,2,3,4,2,5,2,1,6,6,4,2,2,4,1,7,1
8/27/20 13:01,8/27/20 13:23,100,1321,1,35,This is my first time TA-ing and I want to do well for my students. I've never had the opportunity to teach before but I understand the importance of effective and engaging communication for education excellence. I want to start building my teaching skills.,N,2,3,9,2,,,2,2,2,2,3,2,2,1,2,3,2,3,2,2,3,3,3,2,3,1,,1992,8,,0,4,5,2,1,2,1,3,2,6,6,5,1,5,1,5,4,2,2,7,1,1,3,4,1,2,4,4,6,1,1,1,5,4,2,1,5,1,4,7,5,5,1,4,5,1,4,2,1,6,6,7,2,2,4,2,7,1
8/27/20 15:19,8/27/20 15:36,100,997,1,66,"To build my confidence in being in charge of a class, and generally being the main position of information or education within a classroom which is a completely new experience for me.",Y,2,3,0,2,,,2,4,3,3,3,3,1,3,2,3,3,2,3,3,3,2,2,2,3,0,,1998,5,,1,4,5,3,3,6,2,2,3,5,4,6,2,3,4,6,5,2,1,4,2,4,2,5,4,2,3,3,5,3,2,1,6,5,3,2,4,1,5,6,4,2,2,3,5,3,4,2,1,6,6,5,1,2,3,3,5,3
8/27/20 20:05,8/27/20 20:18,100,739,1,31,"I intend to engage in lifelong learning and part of that, for me, is teaching. As such, I want to develop my teaching skills to the greats possible extent so I can more easily help and learn from my students. I also intend to become a professor so I want to have teaching expertise instead of just being a research who stands in front of a class from time-to-time; this class will start me on that path.",N,1,2,0,2,,,2,3,3,4,4,2,2,3,3,4,3,3,4,3,4,3,3,2,4,0,,1997,3,,0,4,6,2,5,5,2,4,2,4,4,4,2,6,1,3,2,2,1,7,4,3,5,4,1,1,5,3,7,4,1,1,7,7,1,3,5,1,5,7,4,4,1,1,6,1,5,3,1,7,7,7,1,4,2,1,7,1
8/28/20 11:58,8/28/20 12:22,100,1405,1,NO MSF DATA,"I have a small amount of teaching experience; however, I do not have any experience teaching in the online format. I am hoping to learn some effective tolls/strategies to teach in this format. ",N,2,3,0,1,I primarily lectured in the absence of the professor for which I was a TA. ,1,2,4,4,5,4,4,3,3,3,4,3,3,4,4,3,3,3,3,3,0,,1995,5,,0,4,3,5,2,5,1,1,1,6,6,6,2,4,1,4,5,3,2,5,2,2,2,7,1,1,6,3,5,2,1,1,6,6,2,2,6,1,4,6,2,3,2,2,4,3,2,1,1,6,6,5,1,1,3,1,6,1
8/29/20 10:47,8/29/20 11:02,100,906,1,41,"I am an international student, so I would like to learn how to teach efficiently in English as a foreigner and I also want to learn the ideal attitude of teaching assistant.",N,2,3,0,1,"At the University of Seoul, South Korea, I did TA in several courses. My main role was consulting statistical analysis and teaching statistical package in a lab session.",4,2,5,4,4,3,4,2,3,4,3,4,3,3,2,3,2,3,3,2,0,,1992,2,,1,4,6,6,7,6,2,2,2,4,6,7,2,6,1,6,6,3,1,6,2,6,1,7,6,5,7,7,6,1,1,1,4,6,4,4,6,1,6,4,3,1,4,5,6,2,6,2,1,6,6,6,1,3,5,2,6,1
8/30/20 18:58,8/30/20 19:08,100,599,1,9,I have never taught before. ,N,1,2,2,2,,,2,4,4,5,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,1,,1995,,,0,4,5,3,3,4,2,4,3,5,5,4,2,5,2,4,2,2,2,5,3,3,4,5,3,2,3,3,4,2,2,1,5,5,1,2,5,1,5,5,2,4,2,2,4,4,5,1,1,4,5,5,1,1,3,1,6,1
8/30/20 20:49,8/30/20 21:03,100,826,1,22,Because this is my first time bing a TA and teaching at all so this class will provide a lot of valuable information and teaching tools and help me to be a more confidant TA,N,1,2,2,2,,,2,4,4,5,3,3,3,3,3,3,3,2,3,3,2,3,3,2,3,1,,1996,3,,0,4,5,4,3,6,1,1,2,7,6,6,2,3,1,5,5,4,3,6,3,6,2,7,3,3,5,5,6,1,3,1,7,6,1,1,7,1,5,6,4,2,1,3,5,1,6,1,1,6,7,5,2,2,3,1,5,1
8/31/20 11:41,8/31/20 12:04,100,1332,1,76,"This will be the first time I'll be leading a TA discussion section for a very large class (~200 students) and being a PhD student, I will be TAing in all the subsequent semesters so I hope to learn how to do that efficiently.",N,2,3,0,1,"I helped students in resolving theoretical doubts about research papers they had to read, and helped the professor in creating the exam and grading it. ",2,2,4,4,5,4,3,3,4,3,4,3,3,2,3,2,3,4,2,3,0,,1993,2,,1,4,4,7,7,4,1,2,5,7,7,6,2,6,1,6,2,6,1,6,1,2,1,6,2,1,4,6,7,2,2,1,6,6,2,1,6,1,7,6,4,2,1,1,2,2,6,2,1,6,6,6,1,1,2,2,6,1
8/31/20 15:14,8/31/20 15:48,100,2067,1,74,"I would like to learn tips to make the most of my experience as a TA, and become one of those very well organised TAs I admired as an undergrad.",Y,2,3,0,2,,,2,4,4,5,3,4,3,3,3,3,3,3,3,3,4,4,4,4,3,1,,1998,5,,1,4,7,3,4,4,4,5,1,7,6,6,6,6,3,7,7,1,6,7,2,4,5,7,2,6,4,5,5,6,1,1,5,5,1,3,5,1,7,7,7,2,1,6,3,1,6,1,1,7,7,7,2,1,6,1,7,6
8/31/20 16:12,8/31/20 16:25,100,752,1,80,I want to feel comfortable TA-ing.,N,2,3,0,1,I served as an instructor for freshmen composition courses,4,1,4,2,4,3,2,3,3,3,2,2,2,3,3,3,2,3,2,3,1,,,2,,1,4,4,1,4,3,1,1,2,5,5,5,1,4,1,4,4,4,2,4,1,4,2,3,1,1,4,4,4,1,1,1,4,4,1,1,4,1,4,4,3,1,1,3,3,1,3,1,1,6,6,7,4,2,2,1,4,1
8/31/20 18:00,8/31/20 18:15,100,874,1,39,"As a first-year TA, I'd like to know how to soundly structure discussion sessions and prepare myself for all the questions students might have.",N,2,3,0,2,,,2,5,4,5,4,4,3,3,4,3,3,4,3,4,3,3,4,4,3,0,,,8,,1,4,6,7,4,6,1,2,1,7,6,7,5,7,1,4,7,1,3,6,2,6,3,6,2,4,6,5,6,2,5,1,6,7,2,6,6,1,6,6,6,1,1,3,6,1,7,3,1,5,7,6,3,2,4,1,6,1
9/1/20 7:55,9/1/20 8:03,100,483,1,47,I want to learn the skills required to effectively communicate and engage with students ,N,1,2,0,2,,,2,4,4,3,4,3,3,3,3,4,3,3,3,4,3,4,4,3,3,0,,1994,5,,0,4,6,4,2,6,2,3,4,4,3,6,6,5,2,4,4,3,4,7,2,2,5,4,3,4,2,2,5,2,3,1,6,6,3,4,4,1,4,4,3,1,2,2,3,2,5,2,1,7,7,6,1,2,2,1,6,1
9/1/20 8:32,9/1/20 8:44,100,730,1,NO MSF DATA,To establish some fundamentals when it comes to TAing. Learn best practices and so on. I want to be a good TA ,Y,1,2,0,2,,,1,4,4,4,2,3,4,3,,4,3,3,3,3,3,3,3,4,3,1,,1997,5,,0,4,4,6,5,5,2,3,3,5,5,5,4,5,2,5,6,4,1,5,1,1,3,4,4,4,5,5,4,4,3,1,6,7,2,4,4,1,6,6,3,3,3,3,5,2,6,1,1,6,7,6,1,2,4,1,7,1
9/1/20 7:18,9/1/20 9:49,100,9054,1,52,I am a TA for the first time and want to facilitate engaging discussions. ,N,1,2,3,1,I was a fifth grade teacher for one year. ,2,1,4,4,4,4,3,3,3,3,3,3,2,3,2,3,2,3,3,3,1,,1994,5,,0,4,4,2,6,3,1,1,3,5,5,4,2,5,1,4,3,3,1,5,2,3,3,6,3,2,4,2,3,1,1,1,6,5,2,3,6,1,4,7,3,6,4,4,5,2,1,2,1,6,5,4,5,4,2,2,7,1
9/1/20 9:39,9/1/20 9:53,100,824,1,43,As a first time signature course TA I was told this class would be helpful.  Plus it never hurts to review pedagogy and keep myself updated on the latest evidence/approaches,N,2,3,6,1,"Grader, Lecturer (occasional)",6,2,4,3,5,4,4,4,3,4,4,3,4,4,3,4,3,3,2,3,0,,1988,5,,0,4,6,3,2,4,6,4,2,7,4,6,1,6,1,4,4,2,3,6,4,5,4,5,2,4,6,3,5,3,4,2,6,5,4,2,5,2,4,4,5,3,4,2,3,5,4,2,1,6,6,6,2,2,3,2,5,2
9/1/20 10:15,9/1/20 10:33,100,1027,1,46,"I am always striving to improve my ability to engage students (and people, in general) with material that may be new or different. It is important to me to effectively communicate on a variety of topics in a meaningful way and I hope this course can help be refine this ability. ",N,2,3,4,1,"Mostly leading discussion sections or lab sections for larger classes. I have also been a TA for small, specialized undergraduate courses where I spend a lot of time with students working through theory and methods. ",8,2,4,5,5,4,3,4,3,4,3,4,3,4,4,4,4,4,3,3,1,,1990,5,,0,4,5,4,5,5,2,3,4,3,5,4,2,4,2,4,4,5,3,7,2,1,4,3,3,3,4,5,3,2,4,1,5,6,2,2,4,1,5,5,2,4,3,3,4,2,4,2,1,5,3,3,3,5,3,1,7,1
9/1/20 11:37,9/1/20 11:50,100,807,1,NO MSF DATA,I have very little prior teaching experience and no prior TA experience. I would like to learn as much as possible about being an effective TA so that I can better help my students.,N,1,2,0,2,,,2,4,3,3,4,2,2,2,2,4,2,2,3,3,2,2,3,2,2,2,,1990,5,,0,4,6,2,4,5,2,5,2,6,6,7,4,5,2,4,4,2,5,5,2,5,4,6,2,4,6,5,5,1,1,1,6,7,1,6,6,1,6,6,3,1,1,4,4,2,5,1,1,7,6,7,1,2,4,2,7,2
9/1/20 11:38,9/1/20 11:52,100,855,1,69,To get some tips on how to better help and communicate with my students,N,1,2,0,1,I co-lead a class during undergrad. I helped grade papers and lead a few classes.,1,2,4,3,3,3,3,3,2,3,3,2,3,4,4,4,3,4,3,3,1,,1998,3,,0,4,6,5,5,4,3,4,4,5,5,4,4,5,4,4,5,3,3,4,4,2,4,4,4,3,4,4,4,3,3,1,4,5,3,3,5,1,4,4,4,4,3,4,4,3,4,3,1,4,5,4,4,2,1,2,5,3
9/1/20 12:12,9/1/20 12:30,100,1064,1,73,I want to be a good TA for students. ,Y,1,3,0,1,The professor was there in the lab with me. I mostly helped students when they need help with the experiment. ,1,2,4,3,4,3,3,,3,3,3,2,3,3,3,3,3,3,3,3,1,,1996,2,,1,4,5,3,3,3,2,2,2,4,4,5,2,5,1,6,4,1,2,6,3,3,1,4,3,2,3,4,5,1,1,1,4,6,2,2,3,2,5,6,4,3,1,2,3,4,4,3,1,5,6,4,2,3,3,1,6,1
9/1/20 13:07,9/1/20 13:24,100,1051,1,18,To improve my skills as a TA and give my students an easy and enjoyable online learning experience. ,Y,1,2,0,2,,,2,5,5,4,3,4,3,2,3,3,3,3,4,3,3,3,4,4,4,1,,1998,5,,0,4,5,3,4,7,3,4,2,6,6,5,2,6,3,6,5,2,3,6,2,5,4,6,4,5,7,6,6,6,3,1,5,7,3,2,7,1,7,7,6,5,5,4,5,5,4,4,1,6,6,7,2,2,4,1,5,1
9/1/20 13:21,9/1/20 13:38,100,1001,1,21,"Honestly, I am taking this course because it is required for first time TAs. However, I do believe the course will be useful in further navigating student-teacher/TA relationships and will prepare me for teaching positions in the future. As of now, I do not intend on pursuing a career in academia or any teaching field but I've always considered it a promising option.",N,1,2,4,2,,,2,6,5,5,4,3,3,4,3,4,4,3,4,4,4,4,4,3,3,1,,1994,5,,0,4,6,2,4,3,1,4,2,7,7,7,2,7,1,6,7,2,1,7,1,5,1,7,3,1,5,4,6,1,4,1,7,7,2,4,7,2,6,7,2,2,1,2,6,2,7,1,1,6,7,6,1,2,5,1,6,1
9/1/20 14:44,9/1/20 14:51,100,399,1,NO MSF DATA,to improve my communication skills in delivering concepts and to make students more engaged,Y,1,2,4,1,explaining teaching materials for class and lab,2,2,4,3,3,4,3,3,2,3,3,3,3,3,3,4,4,3,3,3,0,,1993,2,,1,4,4,4,4,3,2,3,1,5,5,5,3,4,4,4,4,3,4,4,4,5,5,6,4,5,6,4,4,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4
9/2/20 7:26,9/2/20 7:39,100,800,1,27,To be able to manage my time and at the same time be a good TA!,Y,2,3,4,1,"Taking Office hours, Review sessions (lecturing), grading.",2,2,4,3,3,4,2,3,3,3,3,2,2,2,2,3,3,3,2,2,1,,1992,2,,1,4,3,6,4,4,3,2,1,7,6,5,2,6,2,4,4,7,2,5,1,2,5,6,1,4,4,1,6,1,3,1,7,4,2,3,5,1,4,5,7,6,5,4,5,1,1,1,3,4,4,6,4,4,1,1,7,1
9/2/20 7:49,9/2/20 8:08,100,1194,1,14,I want to participate in this course because it is my first time teaching in this capacity and I am completely new to Zoom as well. Teaching is something I would like to do long-term so this class will be important for me to grow and adapt as an instructor while implementing a very solid foundation.,N,1,2,0,2,,,2,4,5,4,3,3,3,2,3,3,4,3,2,4,3,3,4,4,3,0,,1997,8,,0,4,5,3,4,5,1,3,2,6,5,5,3,5,2,5,5,4,3,4,2,5,3,4,4,4,6,6,5,3,2,1,6,6,1,3,4,1,7,5,6,3,2,4,5,2,5,2,1,7,7,7,4,3,5,3,7,1
9/2/20 14:39,9/2/20 14:52,100,775,1,6,"To develop my pedagogy and be a better, more engaging TA for my students.",N,2,3,2,1,"TA during my MA studies, and a TA for the English dept at UT last year.",8,2,4,5,4,4,3,2,3,2,4,3,3,2,3,3,3,3,2,1,1,,1990,9,North African and European descendent Jewish,1,4,4,4,3,5,2,2,1,6,4,6,2,7,1,5,2,1,2,6,1,5,1,6,1,2,4,4,5,1,1,1,6,5,1,2,6,1,6,5,3,2,1,2,5,1,4,1,1,5,5,5,2,1,4,1,7,1
9/2/20 14:30,9/2/20 15:01,100,1890,1,23,"It is a wonderful real-time ""learn how to teach"" program. Especially that we can learn and immediately use and experiment with that learning in class.Come back to tweak what worked, what did not, and how we can do better!",N,2,3,8,1,"In India, I taught Dance privately and was part of Government and Private educational programs that inculcated art training in Public and Private schools. At UT I have been a TA for 4 semesters.",4,2,4,4,4,3,3,3,3,2,3,3,2,3,3,3,3,3,3,2,1,,1982,2,,1,4,4,5,3,6,1,4,1,6,5,5,2,7,1,6,4,2,1,5,2,5,4,4,1,1,7,2,6,1,1,1,5,7,1,1,5,1,6,6,5,3,1,4,5,1,3,1,1,5,7,5,1,2,5,1,6,1
9/2/20 14:53,9/2/20 15:52,100,3521,1,57,I would like to learn how to be a more effective teacher. ,N,1,2,16,1,"I was a high school math teacher and taught 10th -12th graders statistics, precalculus, and algebra 2. I also was a TA in AISD prior to being certified. ",7,1,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,,1991,9,,0,4,6,1,7,6,1,3,2,7,7,7,1,7,1,7,6,1,4,6,1,7,2,7,1,2,7,2,6,1,1,1,7,5,1,3,7,2,7,6,4,5,2,3,6,2,5,1,1,7,7,5,1,1,4,1,6,1
9/2/20 15:44,9/2/20 15:55,100,648,1,7,"Since this is my first time leading discussion sections, I want to participate in Teaching Assistant Fundamentals so I can have a community of people with whom to discuss problems, failures, successes, etc. I also think it will be really good for me to learn different potential ways to lead/structure a class, get conversations going, and effectively handle difficulties. ",N,1,3,2,1,"In my junior year of college, I was the TA for an Ancient Greek language class, and last year (my first year in my PhD program) I was the TA for two different Government classes (although they did not involve discussion sections).",4,2,5,5,5,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,1,,1997,5,,0,4,5,4,3,5,1,1,1,7,7,7,2,7,1,6,3,2,1,7,1,7,1,6,3,1,7,3,7,1,4,1,7,4,4,1,7,1,4,7,1,4,1,2,6,1,4,1,1,7,7,7,1,4,3,2,7,1
9/3/20 7:05,9/3/20 17:06,100,36072,1,16,"I am quite confident in my teaching abilities, but I think hearing others' approaches to and methods of teaching will give me more ideas for how I might improve my own approach.",N,1,3,4,1,I have served as a TA in my previous teaching experiences.  This has included both grading and leading discussion sections.,4,2,5,5,6,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,0,,1996,5,,0,4,3,6,1,7,7,6,2,7,6,1,4,4,2,4,2,5,4,7,1,2,6,4,4,2,4,1,7,4,5,6,6,4,5,6,4,5,1,5,5,6,6,7,1,4,1,2,1,6,6,7,1,2,1,1,3,5
9/7/20 14:58,9/7/20 15:34,100,2183,1,77,"I am completely new to being in a teaching role in any official capacity, and I wanted to get a little bit of supporting experience my first year in graduate school!",N,1,2,0,2,,,2,5,4,4,3,2,2,3,2,2,3,3,4,4,3,4,4,3,3,0,,1997,2,,0,4,3,6,5,5,1,1,7,3,6,6,1,6,1,6,3,6,1,2,2,4,1,4,6,1,6,5,7,1,5,1,7,5,3,1,6,1,7,6,7,5,5,1,5,2,7,1,1,7,7,5,1,2,5,1,7,1
9/9/20 7:53,9/9/20 8:09,100,930,1,17,I would like to have tips and hints for improving my teacher style.,Y,2,3,2,1,"TA for Spring and Fall - primarily graded papers, gave one lecture one semester 
Instructor for two semester at college in San Antonio - taught a class and lab, created syllabus, lessons and provided lectures",4,2,4,5,4,3,3,3,2,3,3,3,3,2,4,2,3,3,3,2,1,,1982,9,,0,4,6,1,5,7,3,5,1,6,5,5,4,6,2,5,6,1,2,4,1,4,3,5,3,3,6,5,4,2,2,1,5,7,3,3,5,1,6,5,4,4,2,4,6,2,4,1,2,6,6,5,2,2,4,1,7,1
9/6/20 20:07,9/6/20 20:12,56,301,0,58,"I am required to complete this course as a first-time TA in a department without a pedagogy seminar, but I also want to consider leaning into teaching as a skill outside of just research",N,1,2,2,2,,,2,4,4,5,4,4,3,3,3,4,3,3,4,4,4,3,3,2,3,2,,1996,5,,0,4,6,4,6,6,1,2,2,5,5,6,1,5,1,3,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/14/20 9:03,9/14/20 9:34,100,1890,1,NO MSF DATA,Learn how to become a good TA,Y,2,,0,2,,,2,1,1,1,2,2,2,2,2,1,1,2,2,3,2,2,2,1,2,1,,1996,2,,1,4,2,4,2,4,1,1,1,2,2,4,2,3,2,4,2,2,2,1,3,3,2,3,2,2,2,2,2,2,2,1,1,3,2,2,3,2,5,4,4,1,1,1,4,5,3,2,1,5,5,4,1,1,2,1,3,3
9/14/20 12:45,9/14/20 13:03,100,1066,1,48,Improve my teaching ability,Y,1,3,2,1,,,2,5,4,4,4,3,3,3,3,3,2,3,2,3,2,3,3,2,2,1,,1991,2,,1,4,5,4,4,5,2,3,3,6,4,5,2,6,3,4,5,1,2,4,2,5,3,6,2,4,4,5,5,2,1,2,6,5,2,2,5,2,6,5,5,2,1,3,5,1,4,2,2,5,4,5,1,2,3,1,7,1
9/14/20 9:10,9/14/20 10:26,55,4557,0,65,It's my first semester as a TA and I think it would be helpful. ,Y,1,2,4,2,,,2,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,9/8/91,8,,0,4,6,5,5,6,6,4,4,6,6,4,4,6,2,5,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,